image,mask,text,label,coord
/disk/SYZ/Pelvicdata/left_hip/source/left_hip_s0010.nii.gz,/disk/SYZ/Pelvicdata/left_hip/label/left_hip_s0010.nii.gz,"The left hip bone is composed of the ilium, pubis, and ischium, forming a strong structure",1,"[-0.2329,0.2876,0.359]"
/disk/SYZ/Pelvicdata/left_hip/source/left_hip_s0011.nii.gz,/disk/SYZ/Pelvicdata/left_hip/label/left_hip_s0011.nii.gz,"The left hip bone is composed of the ilium, pubis, and ischium, forming the left lateral wall of the pelvis.",1,"[-0.2463,0.3617,0.1795]"
/disk/SYZ/Pelvicdata/left_hip/source/left_hip_s0012.nii.gz,/disk/SYZ/Pelvicdata/left_hip/label/left_hip_s0012.nii.gz,"The iliac portion of the left hip bone is broad, with its upper edge forming the iliac crest, an important surface landmark.",1,"[-0.321,0.3469,0.2887]"
/disk/SYZ/Pelvicdata/left_hip/source/left_hip_s0014.nii.gz,/disk/SYZ/Pelvicdata/left_hip/label/left_hip_s0014.nii.gz,"The pubic portion of the left hip bone is located anteriorly and contributes to the pubic symphysis, connecting the two pubic bones.",1,"[-0.2399,0.3566,0.0486]"
/disk/SYZ/Pelvicdata/left_hip/source/left_hip_s0015.nii.gz,/disk/SYZ/Pelvicdata/left_hip/label/left_hip_s0015.nii.gz,"The ischial portion of the left hip bone is located posteroinferiorly, with the ischial tuberosity serving as the weight-bearing site during sitting.",1,"[-0.2184,0.273,0.1]"
/disk/SYZ/Pelvicdata/left_hip/source/left_hip_s0016.nii.gz,/disk/SYZ/Pelvicdata/left_hip/label/left_hip_s0016.nii.gz,"The acetabulum of the left hip bone is a deep socket on its lateral side, articulating with the femoral head to form the hip joint.",1,"[-0.2638,0.3233,-0.0357]"
/disk/SYZ/Pelvicdata/left_hip/source/left_hip_s0019.nii.gz,/disk/SYZ/Pelvicdata/left_hip/label/left_hip_s0019.nii.gz,"The acetabulum of the left hip bone is formed by the ilium, pubis, and ischium, featuring a complex anatomical structure.",1,"[-0.1986,0.3037,0.2527]"
/disk/SYZ/Pelvicdata/left_hip/source/left_hip_s0022.nii.gz,/disk/SYZ/Pelvicdata/left_hip/label/left_hip_s0022.nii.gz,"The medial surface of the left hip bone is smooth and contributes to the wall of the pelvic cavity, providing support for the pelvic organs.",1,"[-0.3165,0.3607,0.2645]"
/disk/SYZ/Pelvicdata/left_hip/source/left_hip_s0024.nii.gz,/disk/SYZ/Pelvicdata/left_hip/label/left_hip_s0024.nii.gz,"The iliac wing of the left hip bone extends laterally, providing attachment sites for multiple muscles.",1,"[-0.2333,0.3861,-0.4889]"
/disk/SYZ/Pelvicdata/left_hip/source/left_hip_s0028.nii.gz,/disk/SYZ/Pelvicdata/left_hip/label/left_hip_s0028.nii.gz,"The superior and inferior rami of the pubis form the main structure of the pubic portion of the left hip bone, contributing to pelvic stability.",1,"[-0.2977,0.3457,0.2237]"
