x,y,z
-0.2329,0.2876,0.359
-0.2463,0.3617,0.1795
-0.321,0.3469,0.2887
-0.2399,0.3566,0.0486
-0.2184,0.273,0.1
-0.2638,0.3233,-0.0357
-0.1986,0.3037,0.2527
-0.3165,0.3607,0.2645
-0.2333,0.3861,-0.4889
-0.2977,0.3457,0.2237
-0.2992,0.394,0.2529
-0.2409,0.3279,0.2301
-0.3499,0.3542,0.2739
-0.2349,0.2963,0.1816
-0.2353,0.3555,0.3133
-0.2588,0.3303,0.2736
-0.2929,0.3003,0.2928
-0.2272,0.3096,0.2964
-0.2631,0.299,0.3167
-0.2277,0.4086,0.3744
-0.319,0.4029,-0.469
-0.2748,0.4147,0.8502
-0.377,0.3456,0.2669
-0.1685,0.2746,0.2285
-0.303,0.3266,0.2633
-0.2762,0.3154,0.2169
-0.2965,0.352,0.283
-0.139,0.3139,0.1192
-0.2058,0.2862,-0.6056
-0.2024,0.319,0.2531
-0.2926,0.3368,0.3301
-0.1835,0.3201,0.2178
-0.2222,0.3258,0.3547
-0.2606,0.3815,0.3461
-0.2203,0.3218,0.0371
-0.2109,0.3172,0.2714
-0.1533,0.2684,0.3846
-0.2114,0.3401,0.2845
-0.2338,0.3173,0.2385
-0.1907,0.3286,0.0148
-0.2428,0.3306,-0.0132
-0.2368,0.2967,-0.037
-0.2433,0.3377,0.3431
-0.2489,0.362,0.3099
-0.3133,0.3567,0.2509
-0.2945,0.3507,0.2592
-0.324,0.3304,0.2876
-0.2534,0.3931,0.2721
-0.1941,0.3151,0.2779
-0.1371,0.2505,0.2701
-0.23,0.2967,0.166
-0.2944,0.3465,0.1549
-0.1998,0.2754,0.3204
-0.2861,0.3122,0.1838
-0.1992,0.3068,0.2384
-0.2892,0.3783,0.4001
-0.3211,0.331,0.3351
-0.2616,0.308,0.277
-0.2495,0.3356,0.8497
-0.2367,0.2899,0.2403
-0.2152,0.303,0.2791
-0.2778,0.3471,0.6833
-0.2839,0.3259,0.1147
-0.235,0.328,0.2717
-0.1961,0.2875,0.2763
-0.2685,0.3239,0.1124
-0.204,0.3049,0.3158
-0.2326,0.2655,0.2483
-0.0847,0.3481,-0.313
-0.2115,0.3626,0.3252
-0.3911,0.3125,0.2457
-0.3404,0.4487,0.8135
-0.1749,0.2566,0.3171
-0.2605,0.3323,0.1755
-0.2346,0.2872,0.1715
-0.1215,0.5666,-0.7379
-0.2903,0.2974,0.1704
-0.231,0.3444,0.2826
-0.1748,0.287,0.0008
-0.1678,0.2656,0.1947
-0.3097,0.3266,0.2657
-0.2777,0.3391,0.3171
-0.293,0.3466,0.4023
-0.2047,0.3292,0.2298
-0.201,0.339,0.3057
-0.2141,0.3554,0.2438
-0.2899,0.3444,0.2768
-0.2422,0.2661,0.2711
-0.2437,0.3247,0.907
-0.2522,0.3838,0.1679
-0.2642,0.281,0.2575
-0.3023,0.3785,0.3757
-0.1028,0.2834,0.2894
-0.2227,0.2988,-0.4679
-0.295,0.3347,0.3217
-0.2069,0.253,0.2749
-0.302,0.3633,0.0772
-0.3237,0.3285,0.2913
-0.178,0.2328,-0.7373
-0.2905,0.392,0.3156
-0.3249,0.3043,0.3485
-0.2233,0.3558,0.2692
-0.2519,0.2881,0.3266
-0.2291,-0.6673,0.3571
-0.2424,-0.2023,-0.1846
-0.1925,-0.8327,-0.4365
-0.2665,-0.576,0.6719
-0.262,0.3009,-0.3372
-0.3223,0.6975,-0.6962
-0.1316,0.3626,0.2791
-0.2917,-0.707,-0.371
-0.1648,0.3798,-0.2108
-0.258,0.336,0.2318
-0.2283,-0.7388,0.4671
-0.1888,0.2984,-0.0003
-0.2984,-0.2012,-0.4052
-0.2562,0.2512,-0.0464
-0.1955,0.3153,0.3207
-0.214,0.3477,0.2188
-0.2171,-0.8366,-0.2066
-0.1951,-0.6944,-0.3452
-0.2891,0.3157,0.3007
-0.3037,-0.7898,-0.2394
-0.1447,-0.6389,0.322
-0.2783,0.2796,0.2469
-0.2136,-0.7585,-0.2439
-0.244,0.3473,0.295
-0.2536,0.3274,0.0893
-0.2269,0.3159,0.2675
-0.2524,0.2694,0.2254
-0.2172,-0.2882,-0.2641
-0.2403,0.337,-0.7487
-0.187,0.2843,0.3673
-0.2466,0.328,0.2573
-0.207,0.3216,0.9275
-0.233,0.3117,0.2686
-0.1739,0.2969,0.2722
-0.2145,0.3463,0.3634
-0.2237,-0.6818,-0.4242
-0.2637,0.3788,-0.3698
-0.1765,0.2368,-0.427
-0.2331,0.404,0.2902
-0.1561,0.2978,0.6255
-0.3954,0.3323,0.2423
-0.2475,0.261,0.8232
-0.1948,-0.1995,-0.2683
-0.262,0.359,-0.6152
-0.2232,-0.7231,-0.3823
-0.2136,0.356,0.369
-0.3949,0.3274,0.3268
-0.3223,0.3199,0.3181
-0.5171,0.4603,-0.4033
-0.25,0.402,0.963
-0.2856,0.3105,0.5757
-0.1612,0.2739,0.2696
-0.134,0.2604,0.0568
-0.3103,0.3023,-0.3461
-0.2412,0.3417,-0.6321
-0.2578,0.3041,-0.3761
-0.2598,0.4002,0.3508
-0.2341,0.3132,0.3144
-0.3449,0.359,-0.4892
-0.3066,0.3647,0.2892
-0.1739,0.3124,0.3056
-0.1276,-0.6729,0.2797
-0.2062,-0.6875,-0.3927
-0.2432,0.3286,0.3327
-0.2248,0.3227,-0.4054
-0.2474,0.3267,0.0871
-0.2708,0.3361,0.2758
-0.2673,0.3523,0.2725
-0.2859,0.3084,0.6622
-0.2261,-0.6467,0.3483
-0.0953,-0.6761,-0.4531
-0.2357,-0.6332,0.265
-0.2716,-0.2301,-0.2281
-0.2655,0.3497,0.2846
-0.2277,0.321,0.2931
-0.1716,0.3445,-0.0755
-0.1916,0.3162,0.417
-0.2778,0.3005,-0.4335
-0.2211,0.2789,0.0175
-0.2467,-0.6858,-0.2822
-0.2259,0.2675,-0.45
-0.2006,0.2891,0.274
-0.2331,0.3236,0.263
-0.2468,0.5804,-0.4025
-0.2355,0.2793,0.2774
-0.2341,-0.7273,0.2959
-0.2939,0.3615,0.2484
-0.2864,0.2748,0.6083
-0.237,-0.6599,-0.3447
-0.1892,0.335,-0.1787
-0.3264,0.2841,0.2738
-0.164,0.3392,0.2285
-0.3738,0.4336,-0.163
-0.2165,0.2689,0.3098
-0.2196,0.4168,0.2685
-0.2689,0.3107,0.2811
-0.2345,0.2871,0.4582
0.5034,0.277,0.357
0.4804,0.3564,0.1781
0.5434,0.3397,0.2792
0.5991,0.3534,0.0362
0.5431,0.2777,0.1006
0.5129,0.29,-0.0392
0.5628,0.3113,0.2476
0.4855,0.331,0.2644
0.5373,0.3824,-0.4851
0.4629,0.3161,0.2219
0.5177,0.3975,0.2571
0.5709,0.3298,0.2306
0.4965,0.3316,0.2697
0.5978,0.3165,0.1732
0.4839,0.3546,0.3113
0.5365,0.3266,0.2716
0.5081,0.2821,0.2864
0.5659,0.3365,0.2916
0.5365,0.2986,0.3178
0.6303,0.4309,0.3675
0.4482,0.3685,-0.4738
0.557,0.4008,0.8427
0.4552,0.2836,0.2641
0.5915,0.272,0.2272
0.4863,0.2879,0.2587
0.5131,0.2922,0.2084
0.5228,0.3297,0.2819
0.6242,0.3592,0.1312
0.5453,0.3017,-0.6078
0.5955,0.3194,0.2488
0.4803,0.3079,0.3302
0.6164,0.3305,0.2176
0.5798,0.3459,0.356
0.5912,0.3471,0.3501
0.5585,0.3156,0.0345
0.552,0.3273,0.2683
0.6422,0.3,0.3818
0.5555,0.359,0.2818
0.5224,0.2928,0.2448
0.6379,0.3655,0.0131
0.5727,0.3379,-0.0082
0.5687,0.302,-0.0448
0.5738,0.3471,0.3405
0.5963,0.3832,0.3172
0.5158,0.3302,0.2564
0.5535,0.3225,0.2606
0.4814,0.3046,0.2904
0.5509,0.4194,0.2676
0.6264,0.3595,0.2748
0.6306,0.2883,0.258
0.5222,0.2959,0.165
0.5148,0.3253,0.153
0.5907,0.3377,0.3132
0.5588,0.3194,0.1786
0.5555,0.3233,0.2318
0.6097,0.3747,0.4013
0.4045,0.3076,0.337
0.5263,0.2901,0.2759
0.5825,0.3559,0.8414
0.5663,0.3023,0.234
0.5855,0.3151,0.271
0.4964,0.3164,0.6861
0.5167,0.3032,0.1199
0.5805,0.3493,0.2689
0.6386,0.3171,0.2772
0.533,0.2825,0.1039
0.5759,0.3302,0.3111
0.5653,0.2831,0.2335
0.6561,0.4073,-0.3206
0.5804,0.384,0.3269
